,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,D16
P1,28,14,7,20,18,22,10,10,23,23,2,21,1,23,29,1
P2,20,32,11,21,24,26,27,15,14,2,6,20,8,17,3,24
P3,13,8,25,1,19,27,6,7,34,13,16,3,1,5,3,28
P4,17,25,33,9,13,30,14,7,13,22,20,15,17,23,25,24
P5,28,14,0,24,6,8,23,0,7,23,10,16,7,34,34,32
P6,4,27,6,8,7,11,33,32,22,23,34,21,26,34,0,34
P7,13,2,0,4,25,13,26,8,14,14,25,12,31,31,3,29
P8,22,14,28,12,31,6,21,27,1,5,27,27,19,29,10,27
P9,24,32,0,26,12,2,5,7,26,8,32,23,14,31,31,23
P10,11,1,2,16,1,1,27,22,31,32,0,18,1,25,31,5
P11,31,3,10,16,23,4,33,5,21,10,15,32,8,5,15,28
P12,2,19,18,25,2,18,19,31,6,32,17,0,10,27,24,22
P13,30,29,34,6,15,25,1,0,11,4,31,8,34,18,15,2
P14,19,23,32,23,10,7,19,34,24,34,24,28,17,17,1,34
P15,15,32,3,32,13,20,19,7,6,2,16,32,11,21,21,29
P16,7,26,26,33,20,29,32,27,32,4,18,3,34,16,27,29
