,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D20,D21,D22,D23,D24,D25
P1,28,14,7,20,18,22,10,10,23,23,2,21,1,23,29,1,20,32,11,21,24,26,27,15,14
P2,2,6,20,8,17,3,24,13,8,25,1,19,27,6,7,34,13,16,3,1,5,3,28,17,25
P3,33,9,13,30,14,7,13,22,20,15,17,23,25,24,28,14,0,24,6,8,23,0,7,23,10
P4,16,7,34,34,32,4,27,6,8,7,11,33,32,22,23,34,21,26,34,0,34,13,2,0,4
P5,25,13,26,8,14,14,25,12,31,31,3,29,22,14,28,12,31,6,21,27,1,5,27,27,19
P6,29,10,27,24,32,0,26,12,2,5,7,26,8,32,23,14,31,31,23,11,1,2,16,1,1
P7,27,22,31,32,0,18,1,25,31,5,31,3,10,16,23,4,33,5,21,10,15,32,8,5,15
P8,28,2,19,18,25,2,18,19,31,6,32,17,0,10,27,24,22,30,29,34,6,15,25,1,0
P9,11,4,31,8,34,18,15,2,19,23,32,23,10,7,19,34,24,34,24,28,17,17,1,34,15
P10,32,3,32,13,20,19,7,6,2,16,32,11,21,21,29,7,26,26,33,20,29,32,27,32,4
P11,18,3,34,16,27,29,28,5,34,23,28,30,34,32,20,31,22,32,2,17,24,30,2,23,31
P12,21,22,1,26,1,25,16,32,8,28,25,34,24,23,12,6,19,0,7,15,13,11,22,14,27
P13,33,1,31,22,21,24,21,21,5,14,32,7,4,3,5,31,29,34,15,12,29,18,16,18,27
P14,25,25,22,8,11,0,0,33,31,24,0,15,4,21,28,2,11,25,15,21,28,13,27,4,29
P15,4,11,15,25,25,20,32,29,22,9,4,33,30,9,18,31,0,4,3,15,23,15,1,27,31
P16,26,19,23,11,34,32,32,11,2,0,32,9,28,12,11,30,1,34,22,16,25,7,28,25,9
P17,25,33,6,3,10,28,24,20,9,8,23,34,34,17,31,23,22,31,11,12,22,24,34,29,16
P18,19,24,21,12,18,11,18,11,8,6,27,13,30,18,15,4,34,11,24,20,22,15,13,30,4
P19,34,22,28,10,17,11,8,9,16,6,12,8,26,1,4,28,18,7,0,21,16,6,24,3,5
P20,30,18,26,9,25,18,2,12,27,19,27,7,0,2,12,27,24,32,5,31,20,15,20,10,34
P21,18,19,17,13,14,30,0,2,15,22,10,11,9,31,15,7,11,23,27,7,27,25,7,27,27
P22,26,16,8,32,19,12,27,28,12,34,5,17,4,24,1,9,29,4,32,0,17,31,10,20,25
P23,24,21,26,12,32,33,34,0,20,5,27,16,4,30,4,2,22,9,9,18,16,20,13,8,0
P24,12,3,0,31,33,27,30,7,25,33,2,11,0,4,29,29,16,22,14,20,13,1,10,33,33
P25,17,29,14,26,33,32,23,14,29,16,4,28,3,9,16,9,16,19,23,4,33,5,1,12,10
